Genotype	Pop	Sex	Sample	TGA.Plate	TGA	TGA.Prot	Protein	TGA.CanS
PC113	PC	M	B4	11172017-1	1.217	0.306537817382812	3.97014636037608	1.61335693359375
PC113	PC	M	C4	11172017-1	0.953	0.162005289174493	5.88252398953184	0.852659416707858
PC113	PC	M	D4	11172017-1	0.879	0.152928212478921	5.74779490161869	0.804885328836426
PC113	PC	M	E4	11172017-1	0.997	0.205228431763767	4.85800135698362	1.08014964086193
PC113	PC	M	F4	11172017-1	0.968	0.254247861507128	3.80730832606378	1.3381466395112
PC136	PC	M	A1	11172017-1	1.529	0.355581395348837	4.3	1.87148102815177
PC136	PC	M	B1	11172017-1	1.552	0.217977528089888	7.12	1.14725014784152
PC136	PC	M	C1	11172017-1	1.276	0.208496732026144	6.12	1.09735122119023
PC136	PC	M	D1	11172017-1	1.358	0.232136752136752	5.85	1.22177237966712
PC136	PC	M	E1	11172017-1	1.051	0.173719008264463	6.05	0.914310569812963
PC136	PC	M	F1	11172017-1	1.203	0.194660194174757	6.18	1.02452733776188
FFD14	FFD	F	A4	11172017-2	3.854	0.347207207207207	11.1	1.14589837362115
FFD14	FFD	F	B4	11172017-2	4.063	0.346672354948805	11.72	1.14413318464952
FFD14	FFD	F	C4	11172017-2	3.91	0.307874015748031	12.7	1.01608586055456
FFD14	FFD	F	D4	11172017-2	3.568	0.294876033057851	12.1	0.9731882279137
FFD14	FFD	F	E4	11172017-2	2.576	0.20125	12.8	0.664191419141914
FFD14	FFD	F	F4	11172017-2	2.957	0.252735042735043	11.7	0.834109051930835
FFD16	FFD	F	A4	11172017-2	3.074	0.265	11.6	0.874587458745875
FFD16	FFD	F	B4	11172017-2	2.75	0.243794326241135	11.28	0.804601736769422
FFD16	FFD	F	C4	11172017-2	2.67	0.247222222222222	10.8	0.815914924825815
FFD16	FFD	F	D4	11172017-2	2.784	0.208695652173913	13.34	0.688764528626776
FFD16	FFD	F	E4	11172017-2	2.207	0.188955479452055	11.68	0.623615443736155
FFD16	FFD	F	F4	11172017-2	3.13	0.248412698412698	12.6	0.819843889150819
PC136	PC	F	A3	11172017-2	2.998	0.265309734513274	11.3	0.87560968486229
PC136	PC	F	B3	11172017-2	2.97	0.251694915254237	11.8	0.830676287967779
